$Date,$Time,YXC-401B,YXI-401B,YXI-402B,YXI-403B,YXI-404B
02/15/16,02:48:00,1700,1841.824,586.6797,5477.672,28441.17
02/15/16,02:49:00,1700,1840.971,584.5354,5467.974,28403.46
02/15/16,02:50:00,1700,1840.587,595.9059,5597.35,29080.71
02/15/16,02:51:00,1700,1840.984,586.6868,5483.254,28502.54
02/15/16,02:52:00,1700,1841.273,573.1908,5365.523,27873.02
02/15/16,02:53:00,1700,1841.65,591.9946,5532.953,28734.04
02/15/16,02:54:00,1700,1840.601,594.1494,5573.562,28995.95
02/15/16,02:55:00,1700,1841.547,594.4011,5562.652,28869.06
02/15/16,02:56:00,1700,1840.993,595.9105,5575.996,28981.82
02/15/16,02:57:00,1700,1840.791,594.146,5558.371,28851.48
02/15/16,02:58:00,1700,1840.771,590.9532,5523.129,28777.61
02/15/16,02:59:00,1700,1840.315,591.6089,5544.182,28783.06
02/15/16,03:00:00,1700,1841.542,595.6064,5577.193,28927.1
02/15/16,03:01:00,1700,1842.012,584.5381,5473.363,28413.78
02/15/16,03:02:00,1700,1842.033,591.8662,5548.956,28806.52
02/15/16,03:03:00,1700,1840.959,584.5398,5458.975,28351.94
02/15/16,03:04:00,1700,1840.989,589.0704,5517.654,28644.01
02/15/16,03:05:00,1700,1840.617,598.28,5611.892,29149.58
02/15/16,03:06:00,1700,1840.808,595.022,5573.731,29073.38
02/15/16,03:07:00,1700,1841.284,587.5789,5485.853,28490.25
02/15/16,03:08:00,1700,1840.734,564.0164,5240.921,27224.9
02/15/16,03:09:00,1700,1841.275,597.5111,5586.705,29014.51
02/15/16,03:10:00,1700,1840.607,589.2444,5508.173,28616.34
02/15/16,03:11:00,1700,1842.61,592.4349,5553.633,28821.55
02/15/16,03:12:00,1700,1841.257,591.1899,5529.397,28704.87
02/15/16,03:13:00,1700,1840.592,594.3228,5571.638,28941.57
02/15/16,03:14:00,1700,1841.534,595.6115,5596.345,29059.85
02/15/16,03:15:00,1700,1840.971,575.6725,5374.539,27912.54
02/15/16,03:16:00,1700,1841.537,579.8419,5405.979,28065.36
02/15/16,03:17:00,1700,1841.542,584.1991,5445.614,28279.13
02/15/16,03:18:00,1700,1840.306,584.755,5448.686,28310.98
02/15/16,03:19:00,1700,1840.591,595.9122,5574.679,28957.34
02/15/16,03:20:00,1700,1841.26,595.1397,5568.138,28913.79
02/15/16,03:21:00,1700,1842.614,580.2433,5428.7,28189.13
02/15/16,03:22:00,1700,1840.978,584.0678,5472.08,28396.64
02/15/16,03:23:00,1700,1839.15,593.4125,5558.369,28876.76
02/15/16,03:24:00,1700,1841.272,593.4555,5570.406,28923.4
02/15/16,03:25:00,1700,1840.783,591.3961,5512.064,28631.09
02/15/16,03:26:00,1700,1840.838,595.4713,5573.783,28970.03
02/15/16,03:27:00,1700,1841.265,591.6154,5534.366,28744.53
02/15/16,03:28:00,1700,1840.778,571.1859,5328.612,27669.79
02/15/16,03:29:00,1700,1841.245,596.0344,5561.202,28879.05
02/15/16,03:30:00,1700,1840.785,598.5259,5611.007,29149.24
02/15/16,03:31:00,1700,1841.237,590.8228,5517.672,28660.69
02/15/16,03:32:00,1700,1840.032,588.0543,5522.3,28688.89
02/15/16,03:33:00,1700,1840.293,596.6823,5593.134,29053.08
02/15/16,03:34:00,1700,1841.523,594.1404,5564.67,28889.85
02/15/16,03:35:00,1700,1840.952,599.6465,5623.385,29211.14
