$Date,$Time,VI-251B,VI-252B,VI-253B,VI-254B,VI-261B,VI-262B,VI-263B,VI-264B
11/7/17,13:28:00,7.069597,3.553113,9.523809,7.545787,17.72894,8.571428,18.11966,15.77534
11/7/17,13:29:00,7.252747,3.626374,9.413919,7.545787,18.2906,8.815629,18.43712,15.77534
11/7/17,13:30:00,7.362638,3.699634,9.48718,7.582417,18.58364,8.766788,18.58364,15.77534
11/7/17,13:31:00,6.959707,3.406593,9.37729,7.435897,17.82662,8.669108,17.9243,15.67766
11/7/17,13:32:00,7.216117,3.626374,9.340659,7.692307,18.11966,8.620269,18.11966,15.82418
11/7/17,13:33:00,6.703297,3.553113,9.230769,7.435897,17.38706,8.473748,17.97314,15.77534
11/7/17,13:34:00,6.813187,3.479853,9.37729,7.582417,17.82662,8.522589,18.19292,15.77534
11/7/17,13:35:00,7.106227,3.699634,9.70696,7.728938,18.24176,8.766788,18.38828,15.87302
11/7/17,13:36:00,6.849817,3.516484,9.267399,7.545787,17.72894,8.766788,18.02198,15.82418
11/7/17,13:37:00,6.813187,3.516484,9.194139,7.582417,17.48474,8.717949,18.02198,15.82418
11/7/17,13:38:00,6.849817,3.553113,9.267399,7.728938,17.4359,8.620269,17.97314,15.82418
11/7/17,13:39:00,6.776557,3.406593,9.194139,7.545787,17.48474,8.571428,17.82662,15.7265
11/7/17,13:40:00,7.142857,3.516484,9.37729,7.582417,17.87546,8.717949,17.97314,15.82418
11/7/17,13:41:00,6.849817,3.479853,9.230769,7.435897,17.6801,8.717949,17.97314,15.87302
11/7/17,13:42:00,7.399267,3.809524,9.81685,7.728938,18.02198,8.571428,18.1685,15.7265
11/7/17,13:43:00,6.923077,3.626374,9.633699,7.582417,17.97314,8.620269,18.1685,15.82418
11/7/17,13:44:00,8.131868,3.919414,10,8.058608,18.5348,8.717949,18.87668,15.92186
11/7/17,13:45:00,6.703297,3.479853,9.267399,7.435897,17.53358,8.717949,17.9243,15.82418
11/7/17,13:46:00,7.362638,3.626374,9.560439,7.545787,18.19292,8.669108,18.2906,15.82418
11/7/17,13:47:00,6.923077,3.479853,9.37729,7.435897,17.77778,8.522589,18.07082,15.82418
11/7/17,13:48:00,7.216117,3.809524,9.67033,7.728938,17.82662,8.669108,18.43712,15.92186
11/7/17,13:49:00,7.142857,3.663004,9.37729,7.582417,17.72894,8.473748,18.11966,15.77534
11/7/17,13:50:00,6.703297,3.406593,9.340659,7.399267,17.53358,8.669108,18.07082,15.92186
11/7/17,13:51:00,6.813187,3.553113,9.194139,7.509158,17.6801,8.717949,17.87546,15.87302
11/7/17,13:52:00,7.069597,3.479853,9.340659,7.545787,17.82662,8.669108,18.19292,15.82418
11/7/17,13:53:00,7.142857,3.553113,9.633699,7.619048,18.02198,8.717949,18.33944,15.87302
11/7/17,13:54:00,6.959707,3.663004,9.37729,7.692307,17.63126,8.620269,18.02198,15.87302
11/7/17,13:55:00,7.216117,3.553113,9.67033,7.728938,17.72894,8.522589,18.2906,15.77534
11/7/17,13:56:00,6.923077,3.626374,9.267399,7.582417,17.77778,8.717949,17.9243,15.77534
11/7/17,13:57:00,7.106227,3.553113,9.48718,7.619048,17.53358,8.669108,18.1685,15.82418
11/7/17,13:58:00,6.849817,3.479853,9.340659,7.399267,17.53358,8.669108,17.77778,15.77534
11/7/17,13:59:00,6.849817,3.516484,9.37729,7.509158,17.82662,8.766788,17.97314,15.7265
11/7/17,14:00:00,7.399267,3.772894,9.560439,7.545787,17.97314,8.669108,18.11966,15.77534
11/7/17,14:01:00,7.069597,3.663004,9.560439,7.582417,17.77778,8.815629,18.19292,15.82418
11/7/17,14:02:00,6.923077,3.553113,9.413919,7.435897,17.4359,8.620269,18.02198,15.82418
11/7/17,14:03:00,6.776557,3.479853,9.340659,7.619048,17.38706,8.717949,17.72894,15.82418
11/7/17,14:04:00,6.996337,3.663004,9.37729,7.619048,18.1685,8.766788,18.11966,15.77534
11/7/17,14:05:00,6.923077,3.553113,9.523809,7.509158,17.87546,8.620269,18.07082,15.87302
11/7/17,14:06:00,7.435897,3.809524,9.560439,7.692307,18.02198,8.669108,18.2906,15.87302
11/7/17,14:07:00,6.849817,3.406593,9.413919,7.509158,17.77778,8.766788,18.02198,15.7265
11/7/17,14:08:00,7.216117,3.553113,9.37729,7.692307,17.82662,8.669108,17.9243,15.82418
11/7/17,14:09:00,6.923077,3.479853,9.413919,7.692307,17.63126,8.620269,18.11966,15.87302
11/7/17,14:10:00,7.069597,3.699634,9.48718,7.692307,18.07082,8.669108,18.1685,15.92186
11/7/17,14:11:00,7.435897,3.663004,9.81685,7.765568,18.33944,8.815629,18.2906,15.9707
11/7/17,14:12:00,7.216117,3.626374,9.523809,7.619048,17.72894,8.620269,18.11966,15.87302
11/7/17,14:13:00,7.142857,3.663004,9.560439,7.582417,17.77778,8.669108,18.07082,15.87302
11/7/17,14:14:00,6.849817,3.516484,9.267399,7.728938,17.24054,8.571428,17.9243,15.92186
11/7/17,14:15:00,7.289377,3.516484,9.633699,7.838828,18.1685,8.669108,18.33944,15.82418
11/7/17,14:16:00,6.996337,3.553113,9.230769,7.545787,18.02198,8.522589,17.9243,15.87302
11/7/17,14:17:00,7.142857,3.553113,9.37729,7.582417,17.72894,8.669108,17.9243,15.82418
11/7/17,14:18:00,6.776557,3.516484,9.413919,7.582417,17.58242,8.669108,18.02198,15.82418
11/7/17,14:19:00,6.849817,3.663004,9.413919,7.582417,17.77778,8.669108,17.97314,15.87302
11/7/17,14:20:00,6.959707,3.553113,9.413919,7.582417,17.72894,8.620269,17.97314,15.82418
11/7/17,14:21:00,7.106227,3.553113,9.37729,7.509158,17.82662,8.620269,18.02198,15.92186
11/7/17,14:22:00,6.849817,3.553113,9.37729,7.619048,17.9243,8.620269,17.9243,15.82418
11/7/17,14:23:00,6.923077,3.626374,9.48718,7.545787,17.38706,8.669108,18.07082,15.87302
11/7/17,14:24:00,6.556777,3.479853,9.48718,7.509158,17.38706,8.571428,17.87546,15.82418
11/7/17,14:25:00,6.923077,3.553113,9.560439,7.545787,17.87546,8.522589,18.1685,15.82418
11/7/17,14:26:00,7.252747,3.663004,9.633699,7.582417,18.1685,8.717949,18.19292,15.82418
11/7/17,14:27:00,6.813187,3.553113,9.48718,7.435897,17.6801,8.669108,18.11966,15.82418
11/7/17,14:28:00,7.435897,3.663004,9.48718,7.545787,18.07082,8.766788,17.87546,15.77534
11/7/17,14:29:00,6.813187,3.479853,9.267399,7.582417,17.38706,8.620269,17.97314,15.77534
11/7/17,14:30:00,7.216117,3.809524,9.560439,7.582417,18.38828,8.717949,18.48596,15.77534
11/7/17,14:31:00,6.813187,3.406593,9.48718,7.435897,17.63126,8.571428,18.02198,15.92186
11/7/17,14:32:00,6.666667,3.406593,9.340659,7.619048,17.28938,8.473748,17.82662,15.77534
11/7/17,14:33:00,6.959707,3.553113,9.48718,7.619048,17.97314,8.620269,18.07082,15.77534
11/7/17,14:34:00,6.630037,3.479853,9.194139,7.582417,17.4359,8.522589,17.82662,15.82418
11/7/17,14:35:00,6.813187,3.553113,9.267399,7.582417,17.72894,8.766788,18.02198,15.87302
11/7/17,14:36:00,7.509158,3.772894,9.92674,7.619048,18.07082,8.815629,18.68132,15.82418
11/7/17,14:37:00,6.813187,3.479853,9.37729,7.509158,17.24054,8.669108,17.97314,15.82418
11/7/17,14:38:00,6.923077,3.406593,9.560439,7.545787,17.87546,8.620269,18.11966,15.87302
11/7/17,14:39:00,7.252747,3.663004,9.523809,7.582417,18.02198,8.669108,18.02198,15.92186
11/7/17,14:40:00,6.849817,3.663004,9.37729,7.619048,17.87546,8.766788,18.19292,15.87302
11/7/17,14:41:00,6.703297,3.553113,9.267399,7.545787,17.82662,8.620269,18.07082,15.77534
11/7/17,14:42:00,6.813187,3.479853,9.230769,7.435897,17.77778,8.571428,17.9243,15.82418
11/7/17,14:43:00,6.923077,3.516484,9.340659,7.582417,17.4359,8.522589,18.02198,15.87302
11/7/17,14:44:00,7.106227,3.699634,9.853479,7.765568,17.58242,8.717949,18.07082,15.82418
11/7/17,14:45:00,6.703297,3.516484,9.267399,7.435897,17.82662,8.620269,17.97314,15.82418
11/7/17,14:46:00,6.813187,3.553113,9.267399,7.582417,17.33822,8.669108,17.77778,15.87302
11/7/17,14:47:00,7.142857,3.626374,9.48718,7.509158,18.2906,8.669108,18.5348,15.77534
11/7/17,14:48:00,7.106227,3.663004,9.633699,7.692307,18.1685,8.669108,18.43712,15.82418
11/7/17,14:49:00,6.666667,3.626374,9.267399,7.509158,17.72894,8.717949,18.1685,15.87302
11/7/17,14:50:00,6.923077,3.479853,9.37729,7.399267,17.58242,8.620269,17.9243,15.87302
11/7/17,14:51:00,6.776557,3.553113,9.267399,7.582417,17.77778,8.669108,17.82662,15.77534
11/7/17,14:52:00,6.849817,3.479853,9.340659,7.619048,17.48474,8.571428,17.82662,15.77534
11/7/17,14:53:00,6.703297,3.369963,9.267399,7.582417,17.28938,8.522589,17.9243,15.87302
11/7/17,14:54:00,6.776557,3.553113,9.48718,7.435897,17.53358,8.669108,18.02198,15.9707
11/7/17,14:55:00,6.996337,3.626374,9.37729,7.399267,17.48474,8.571428,17.87546,15.87302
11/7/17,14:56:00,6.776557,3.626374,9.340659,7.435897,17.4359,8.620269,17.97314,15.87302
11/7/17,14:57:00,6.630037,3.516484,9.37729,7.545787,17.6801,8.669108,18.02198,15.87302
11/7/17,14:58:00,7.106227,3.516484,9.560439,7.728938,18.1685,8.620269,18.19292,15.77534
11/7/17,14:59:00,7.252747,3.663004,10,7.582417,17.97314,8.669108,18.38828,15.92186
11/7/17,15:00:00,6.996337,3.479853,9.230769,7.692307,17.58242,8.669108,17.72894,15.82418
11/7/17,15:01:00,6.996337,3.553113,9.340659,7.619048,17.82662,8.669108,18.02198,15.87302
11/7/17,15:02:00,6.776557,3.553113,9.230769,7.509158,17.48474,8.669108,18.02198,15.92186
11/7/17,15:03:00,6.996337,3.553113,9.413919,7.582417,17.6801,8.522589,18.1685,15.82418
11/7/17,15:04:00,6.703297,3.626374,9.523809,7.545787,17.6801,8.620269,18.1685,15.77534
11/7/17,15:05:00,7.142857,3.626374,9.560439,7.692307,18.07082,8.717949,18.38828,15.87302
11/7/17,15:06:00,7.142857,3.663004,9.81685,7.582417,18.19292,8.766788,18.73016,15.87302
11/7/17,15:07:00,7.216117,3.553113,9.267399,7.582417,17.63126,8.669108,18.02198,15.87302
11/7/17,15:08:00,6.776557,3.663004,9.194139,7.545787,17.28938,8.815629,17.87546,15.87302
