$Date,$Time,PI-101B,PZI-102B,PI-401B,PI-402B,PDI-401B,TI-402B,LI-401B
02/15/16,18:32:00,140.7629,140.671,386.9519,381.3245,26.2664,48.96228,85.3833
02/15/16,18:33:00,140.7582,140.6958,387.0293,381.3481,26.18732,49.0247,85.38432
02/15/16,18:34:00,140.7782,140.712,387.5349,382.2085,26.26015,49.00153,85.36861
02/15/16,18:35:00,140.7055,140.579,385.6606,380.459,26.30455,48.96347,85.43217
02/15/16,18:36:00,140.5902,140.6223,386.845,381.158,26.3953,49.04847,85.41248
02/15/16,18:37:00,140.8137,140.7775,386.9365,381.4146,26.35265,49.02428,85.37085
02/15/16,18:38:00,140.8784,140.9025,387.7339,382.0549,26.381,48.97443,85.43175
02/15/16,18:39:00,140.9266,140.9348,387.8357,382.6672,26.27068,49.06013,85.42203
02/15/16,18:40:00,141.0106,140.9254,387.6387,381.9734,26.19331,49.03451,85.39691
02/15/16,18:41:00,141.2048,140.8993,386.7771,380.7349,26.36528,48.9672,85.3945
02/15/16,18:42:00,140.8559,140.757,387.0571,381.3918,26.38283,49.07346,85.39084
02/15/16,18:43:00,140.8901,140.7888,387.2573,381.8423,26.41499,48.99846,85.39693
02/15/16,18:44:00,140.8243,140.7981,387.0437,381.666,26.18008,49.00869,85.34813
02/15/16,18:45:00,140.8166,140.8544,387.6177,381.876,26.36662,48.99119,85.39893
02/15/16,18:46:00,140.9146,140.8716,386.7947,381.1685,26.37146,48.96336,85.38882
02/15/16,18:47:00,140.9041,140.7304,387.0974,381.448,26.33862,48.99189,85.33687
02/15/16,18:48:00,141.2983,141.1092,387.3552,381.5532,26.24825,49.00844,85.42195
02/15/16,18:49:00,141.2121,141.1799,387.7415,381.9202,26.37745,48.96477,85.36487
02/15/16,18:50:00,140.9123,140.7947,385.8594,380.355,26.2645,49.02929,85.40578
02/15/16,18:51:00,140.6972,140.5806,386.7817,380.937,26.4613,48.92615,85.37109
02/15/16,18:52:00,141.0881,141.0322,387.7878,382.3562,26.20636,48.9837,85.3369
02/15/16,18:53:00,141.177,140.9783,387.6387,382.4343,26.3575,49.06663,85.35599
02/15/16,18:54:00,141.3672,141.2699,388.1025,382.2458,26.26137,48.9878,85.34145
02/15/16,18:55:00,140.5663,140.5146,387.4441,381.6487,26.22894,49.06225,85.34625
02/15/16,18:56:00,140.9781,140.8841,387.1697,381.4514,26.28716,49.02993,85.40321
02/15/16,18:57:00,141.1747,141.0554,387.7849,382.6699,26.35708,48.97927,85.40742
02/15/16,18:58:00,140.7502,140.7195,386.9551,381.1084,26.33759,49.01961,85.31993
02/15/16,18:59:00,140.9443,140.9748,387.8369,381.6277,26.27277,48.99075,85.35802
02/15/16,19:00:00,140.7162,140.6529,385.9719,380.4563,26.16959,48.95708,85.36356
02/15/16,19:01:00,141.2319,141.1553,388.3279,382.6165,26.48491,49.0197,85.32065
02/15/16,19:02:00,141.1088,141.1121,388.199,382.7004,26.46725,48.97394,85.41586
02/15/16,19:03:00,141.1025,141.0635,387.9529,382.2239,26.3316,48.95902,85.35619
02/15/16,19:04:00,141.1149,141.0419,387.7561,381.7244,26.41018,49.00846,85.40294
02/15/16,19:05:00,140.9125,140.9116,386.3213,380.5835,26.2854,48.96147,85.31186
02/15/16,19:06:00,140.5586,140.5334,387.1128,381.3567,26.3813,49.04224,85.3605
02/15/16,19:07:00,141.4191,141.3559,388.4124,382.5947,26.48659,49.0242,85.42627
02/15/16,19:08:00,141.382,141.4045,388.8398,383.699,26.26266,48.96696,85.36093
02/15/16,19:09:00,141.1072,141.1841,388.7813,382.821,26.36105,49.05747,85.42699
02/15/16,19:10:00,140.9823,140.9876,387.6526,381.3718,26.33686,48.99646,85.33047
02/15/16,19:11:00,140.9255,140.905,387.6025,381.7751,26.21109,48.97498,85.35277
02/15/16,19:12:00,141.2408,141.136,387.4922,381.9619,26.24542,49.06784,85.35918
02/15/16,19:13:00,140.7098,140.8315,387.1489,381.356,26.34438,48.99606,85.3526
02/15/16,19:14:00,141.176,141.1396,387.6611,382.0107,26.29314,49.01955,85.37148
02/15/16,19:15:00,141.324,141.2823,388.125,382.5125,26.47236,49.05537,85.3661
02/15/16,19:16:00,140.9216,140.9318,387.4661,381.782,26.35311,48.99586,85.39589
02/15/16,19:17:00,140.8528,140.7783,387.4551,381.8416,26.35284,49.04171,85.45053
02/15/16,19:18:00,141.0356,140.9857,388.5156,382.6816,26.41357,49.01759,85.40337
02/15/16,19:19:00,141.1328,141.0621,387.6528,381.71,26.24115,48.92847,85.35901
02/15/16,19:20:00,140.8164,140.7678,388.6409,382.5095,26.34007,49.02329,85.37817
02/15/16,19:21:00,141.1605,141.1518,388.3079,382.6272,26.39503,48.96839,85.29074
02/15/16,19:22:00,141.2135,141.181,388.3638,382.6072,26.21609,48.95074,85.36765
02/15/16,19:23:00,140.8436,140.9214,387.6738,382.2175,26.423,49.00847,85.32948
02/15/16,19:24:00,141.0623,141.099,387.8123,382.1387,26.36333,48.94488,85.3111
02/15/16,19:25:00,140.5699,140.641,387.2083,381.5552,26.31313,48.96715,85.35258
02/15/16,19:26:00,141.3617,141.2887,387.2854,381.6099,26.37711,49.0041,85.36658
02/15/16,19:27:00,141.0386,141.0428,387.4846,381.5681,26.34365,48.96874,85.39252
02/15/16,19:28:00,140.7624,140.7363,386.9902,380.687,26.33904,49.01818,85.40479
02/15/16,19:29:00,140.9898,140.8989,387.2908,381.427,26.42723,49.0212,85.37123
02/15/16,19:30:00,140.961,140.7584,386.7231,381.0361,26.24077,48.9911,85.35599
02/15/16,19:31:00,140.8759,140.8036,386.6155,381.7551,26.24981,49.06282,85.37682
02/15/16,19:32:00,140.8962,140.8124,386.9385,381.2466,26.37577,49.01931,85.39751
02/15/16,19:33:00,140.9451,140.9333,387.4001,381.7842,26.50043,48.99895,85.34467
02/15/16,19:34:00,140.8108,140.8259,387.116,381.093,26.33507,49.06992,85.40378
02/15/16,19:35:00,141.0654,141.0408,388.4561,382.7168,26.36948,48.99765,85.32005
02/15/16,19:36:00,141.1455,141.2043,388.1421,382.4961,26.26762,48.95662,85.36456
02/15/16,19:37:00,141.5399,141.0685,389.0271,382.3901,26.3623,49.02277,85.28656
02/15/16,19:38:00,141.0208,140.933,388.2937,381.7126,26.44203,49.01245,85.44342
02/15/16,19:39:00,140.9986,140.981,387.822,381.615,26.31245,48.95931,85.29819
02/15/16,19:40:00,141.4359,141.3309,388.4849,382.6958,26.25671,48.92813,85.34924
02/15/16,19:41:00,141.1717,141.0777,387.824,381.9915,26.22532,48.92602,85.2933
02/15/16,19:42:00,141.5754,141.3951,388.3403,382.3972,26.27541,48.95206,85.31279
02/15/16,19:43:00,140.8237,140.7289,386.4478,380.5039,26.3089,48.96177,85.25555
02/15/16,19:44:00,141.0501,140.9474,386.894,380.7776,26.31958,48.95305,85.26074
02/15/16,19:45:00,141.151,141.1576,387.3206,381.2998,26.23249,48.97293,85.19215
02/15/16,19:46:00,141.0174,141.1769,387.8223,381.8108,26.40079,49.03592,85.2016
02/15/16,19:47:00,141.2191,141.313,387.3254,381.6306,26.34594,48.99994,85.21886
02/15/16,19:48:00,141.1609,141.0395,386.624,380.8777,26.15341,49.01444,85.22635
02/15/16,19:49:00,141.1693,141.0391,387.7131,382.1519,26.35483,49.13936,85.20993
02/15/16,19:50:00,141.1497,141.1997,387.4048,381.7915,26.37215,49.02794,85.21255
02/15/16,19:51:00,140.7894,140.8337,387.2566,381.8516,26.36654,49.00998,85.24408
02/15/16,19:52:00,140.986,140.8867,387.2883,381.2947,26.32442,49.01701,85.15695
02/15/16,19:53:00,141.0583,140.9144,387.7175,381.8215,26.27293,49.01047,85.22919
02/15/16,19:54:00,140.9746,140.9653,387.8838,381.9971,26.4275,48.96638,85.19328
02/15/16,19:55:00,140.8926,141.1483,387.7952,382.0425,26.30386,49.07795,85.15558
02/15/16,19:56:00,140.7593,140.7492,387.323,381.6223,26.39542,48.9997,85.22585
02/15/16,19:57:00,140.92,140.8586,387.6521,381.6184,26.33907,49.00652,85.2254
02/15/16,19:58:00,140.9634,140.833,387.803,382.0745,26.31187,49.00132,85.11974
02/15/16,19:59:00,141.1061,141.0656,387.2107,381.4316,26.38496,49.00368,85.27248
02/15/16,20:00:00,141.0198,140.8921,386.9829,381.7017,26.36921,48.97341,85.09877
02/15/16,20:01:00,141.3729,141.2673,388.2202,382.2209,26.34079,48.93289,85.22292
02/15/16,20:02:00,141.3517,141.2515,387.9404,382.1755,26.42689,48.96819,85.22435
02/15/16,20:03:00,141.5155,141.2791,387.1594,381.5989,26.36246,48.98462,85.16975
02/15/16,20:04:00,141.2359,141.0919,387.3772,381.6155,26.37543,49.00906,85.24577
02/15/16,20:05:00,141.2331,141.2576,387.9756,382.1802,26.22215,49.00642,85.21657
02/15/16,20:06:00,141.2818,141.1685,387.8633,382.2144,26.35475,49.02893,85.20714
02/15/16,20:07:00,141.5648,141.4081,387.2937,381.9023,26.35708,48.99606,85.13658
02/15/16,20:08:00,140.8871,141.0899,387.7046,381.8215,26.36654,48.97594,85.11475
02/15/16,20:09:00,140.8058,140.7557,386.9319,381.0105,26.24912,49.02076,85.20877
02/15/16,20:10:00,140.7001,140.6499,386.0769,380.447,26.32385,49.09014,85.22878
02/15/16,20:11:00,140.9539,140.9478,386.7209,380.989,26.13518,49.12134,85.10738
02/15/16,20:12:00,140.7239,140.7272,387.8838,382.0642,26.34289,49.10598,85.1824
02/15/16,20:13:00,141.1083,141.0797,386.8967,381.2668,26.21696,49.00787,85.15543
02/15/16,20:14:00,140.7551,141.0587,387.2583,381.4067,26.37058,49.09342,85.26505
02/15/16,20:15:00,140.6154,140.7592,387.6553,381.6868,26.18126,49.00827,85.20134
02/15/16,20:16:00,140.7385,140.624,387.4314,381.4797,26.35181,48.99249,85.16125
02/15/16,20:17:00,141.0178,141.0322,387.8689,381.7388,26.45184,49.03706,85.19116
02/15/16,20:18:00,140.8676,140.882,387.7192,381.7456,26.3129,48.92366,85.23613
02/15/16,20:19:00,141.2211,141.1301,388.0652,382.0886,26.31386,48.9516,85.19446
02/15/16,20:20:00,140.7867,140.78,387.1694,381.1904,26.35704,48.98819,85.27403
02/15/16,20:21:00,140.9913,141.0434,387.9189,382.3945,26.28635,48.94318,85.23232
02/15/16,20:22:00,140.974,141.0029,387.6606,381.6494,26.366,49.01089,85.23882
02/15/16,20:23:00,141.1884,140.8994,386.8833,381.0166,26.27331,48.97487,85.24179
02/15/16,20:24:00,140.7775,140.729,386.2966,380.3562,26.15593,48.95548,85.1384
02/15/16,20:25:00,140.9319,141.0571,388.3726,382.2864,26.34735,49.04244,85.16417
02/15/16,20:26:00,141.028,141.053,387.521,381.6831,26.46702,49.00197,85.10013
02/15/16,20:27:00,141.0946,141.0334,387.4038,381.4255,26.36253,49.03321,85.13693
02/15/16,20:28:00,140.9052,140.8918,387.0798,381.22,26.44672,49.04191,85.1922
02/15/16,20:29:00,141.1912,141.1205,388.0479,382.2222,26.17466,48.95125,85.04652
02/15/16,20:30:00,141.1597,141.076,387.3098,381.2402,26.17458,49.04469,85.11748
02/15/16,20:31:00,141.3603,141.2501,388.929,382.7673,26.46484,49.03781,85.08261
02/15/16,20:32:00,141.0438,141.0601,387.9053,381.4663,26.22162,48.97308,85.13866
02/15/16,20:33:00,140.6653,140.5944,388.0127,383.1079,26.34537,49.05588,85.08321
02/15/16,20:34:00,141.1891,141.1102,388.499,382.7283,26.37966,48.9991,85.15247
02/15/16,20:35:00,140.6395,140.7272,387.2434,381.6931,26.29116,49.0093,85.11491
02/15/16,20:36:00,141.139,141.053,388.5427,382.6062,26.4431,49.07095,85.04396
02/15/16,20:37:00,141.2388,141.1177,388.5789,382.5701,26.51077,48.94587,85.16376
02/15/16,20:38:00,141.4543,141.1464,388.4722,382.7903,26.29707,49.02288,85.13701
02/15/16,20:39:00,141.2617,141.1817,387.5066,381.624,26.31298,48.93761,85.11819
02/15/16,20:40:00,141.2415,141.1368,387.7751,381.717,26.38905,48.92595,85.02531
02/15/16,20:41:00,141.0866,141.0904,387.6963,381.9207,26.32591,49.02581,85.14456
02/15/16,20:42:00,141.4953,141.1595,387.4924,382.3311,26.38252,48.97489,85.1212
02/15/16,20:43:00,141.1816,141.0646,387.7305,382.0898,26.18027,48.9958,85.14864
02/15/16,20:44:00,140.8607,140.8676,387.6433,381.8069,26.29742,49.05907,85.08456
02/15/16,20:45:00,141.3299,141.0261,387.1147,381.4189,26.26804,49.01922,85.0955
02/15/16,20:46:00,141.2214,141.0571,388.4287,382.373,26.34968,49.13192,85.08221
02/15/16,20:47:00,140.5372,140.8061,387.7615,381.8174,26.30318,49.13982,85.06105
02/15/16,20:48:00,141.001,141.022,387.9211,382.188,26.10847,49.09029,85.15691
02/15/16,20:49:00,140.4999,140.5128,387.5637,381.6506,26.27571,49.15582,85.16904
02/15/16,20:50:00,141.0033,140.81,388.4407,382.4895,26.20422,49.04577,85.15289
02/15/16,20:51:00,140.8022,140.7227,388.2275,382.1611,26.27132,49.02001,85.13199
02/15/16,20:52:00,140.4691,140.4719,387.8464,382.3669,26.36425,49.04605,85.1738
02/15/16,20:53:00,140.3152,140.5317,387.7097,382.0081,26.25874,48.94347,85.04718
02/15/16,20:54:00,141.1615,140.9672,387.8086,382.0574,26.28998,49.00694,85.19257
02/15/16,20:55:00,140.8644,140.9091,388.8467,383.1897,26.28643,49.03345,85.15666
02/15/16,20:56:00,140.9806,140.9083,388.7864,383.0051,26.36551,48.96674,85.10757
02/15/16,20:57:00,140.4448,140.5424,387.3533,382.2207,26.19541,49.0617,85.10435
02/15/16,20:58:00,140.7729,140.7278,387.5913,381.866,26.24588,49.00774,85.1403
02/15/16,20:59:00,140.6589,140.7446,388.3184,382.3672,26.2048,48.95591,85.10451
02/15/16,21:00:00,140.83,140.825,387.9485,382.0137,26.33808,49.05912,85.0719
02/15/16,21:01:00,140.8298,140.8376,388.7837,383.2378,26.48689,49.00086,85.04985
02/15/16,21:02:00,140.9451,140.8217,388.1804,382.4133,26.26812,48.96795,85.04895
02/15/16,21:03:00,141.0755,140.927,388.8391,382.8792,26.5424,49.01842,85.06514
02/15/16,21:04:00,140.8665,140.8524,388.7341,382.991,26.38725,48.95052,85.15414
02/15/16,21:05:00,141.1611,140.8649,388.6802,383.0562,26.39999,48.99064,85.12811
02/15/16,21:06:00,140.632,140.8079,388.2764,382.3816,26.40434,48.97194,85.16788
02/15/16,21:07:00,140.8154,140.7702,388.5127,383.5691,26.16848,48.939,85.13713
02/15/16,21:08:00,140.9047,140.7975,388.4077,382.813,26.25202,49.02803,85.13406
02/15/16,21:09:00,140.956,140.8721,388.6111,382.6904,26.37257,48.9907,85.1073
02/15/16,21:10:00,141.1857,141.0145,388.3525,382.2637,26.13224,48.95115,85.13298
02/15/16,21:11:00,140.6532,140.6629,387.8367,382.1277,26.28551,49.01351,85.16734
02/15/16,21:12:00,140.8706,141.0101,389.7798,383.7476,26.45561,48.92653,85.26534
02/15/16,21:13:00,140.6959,140.6631,387.4004,381.5168,26.2088,48.95519,85.34381
02/15/16,21:14:00,140.9594,140.7701,387.4395,381.3416,26.36391,49.03957,85.34155
02/15/16,21:15:00,140.7626,140.6839,387.3718,381.7866,26.33312,48.951,85.3004
02/15/16,21:16:00,140.8054,140.5021,387.4521,381.8413,26.26633,49.00827,85.33472
02/15/16,21:17:00,140.8314,140.7637,388.2556,382.5015,26.38844,49.01922,85.31761
02/15/16,21:18:00,140.9026,140.8909,388.6699,382.8928,26.34514,48.96693,85.34981
02/15/16,21:19:00,140.7815,140.8361,388.6086,382.9553,26.37234,49.04127,85.37701
02/15/16,21:20:00,140.828,140.7385,387.6914,381.7795,26.38424,49.00855,85.36331
02/15/16,21:21:00,141.5037,141.306,389.0735,383.5149,26.29448,48.93968,85.33096
02/15/16,21:22:00,141.1757,141.082,388.0127,382.439,26.32984,49.02325,85.31816
02/15/16,21:23:00,140.9843,140.9718,387.9482,382.554,26.39961,49.02446,85.40692
02/15/16,21:24:00,141.0324,140.9744,388.1558,382.6084,26.25694,48.97286,85.37675
02/15/16,21:25:00,141.0767,140.9606,387.7258,381.9722,26.33076,49.03934,85.37616
02/15/16,21:26:00,140.8259,140.7954,387.6321,381.7356,26.33457,48.97286,85.37077
02/15/16,21:27:00,140.6329,140.5063,387.3206,381.5723,26.28025,48.97846,85.38361
02/15/16,21:28:00,140.7473,140.6644,387.1812,381.6497,26.17786,49.03556,85.37035
02/15/16,21:29:00,140.7174,140.748,388.3826,382.4448,26.38332,49.0221,85.36519
02/15/16,21:30:00,141.0253,141.029,389.1621,382.8643,26.36108,49.01818,85.35892
02/15/16,21:31:00,140.8356,140.6501,387.4958,381.7971,26.25687,49.03656,85.32021
02/15/16,21:32:00,140.9789,140.8165,388.2319,382.5078,26.2117,48.96722,85.35612
02/15/16,21:33:00,140.8383,140.7246,388.4031,382.5605,26.24977,49.01332,85.38968
02/15/16,21:34:00,140.9415,140.9131,388.0669,382.2773,26.36024,49.00199,85.31412
02/15/16,21:35:00,140.8919,140.8045,387.7788,381.7227,26.35605,48.9501,85.31795
02/15/16,21:36:00,140.8913,140.8631,387.7725,382.311,26.25019,48.84108,85.44006
02/15/16,21:37:00,140.7187,140.7326,388.1287,382.1624,26.30829,49.01278,85.36029
02/15/16,21:38:00,140.9695,140.8043,387.9006,382.6719,26.36269,48.97837,85.37604
02/15/16,21:39:00,140.5354,140.5297,386.7461,381.2263,26.20865,49.0297,85.30826
02/15/16,21:40:00,140.5775,140.5128,386.6106,381.0208,26.30531,49.04381,85.36102
02/15/16,21:41:00,140.753,140.675,387.8174,382.145,26.4082,48.97572,85.36946
02/15/16,21:42:00,141.0427,140.9016,387.8303,382.2095,26.35525,49.06326,85.35529
02/15/16,21:43:00,140.9379,140.9551,388.116,382.7639,26.24332,49.03416,85.32066
02/15/16,21:44:00,141.075,140.9504,387.9365,382.2534,26.32229,48.98844,85.4117
02/15/16,21:45:00,140.9921,140.8372,387.4592,381.8503,26.17012,49.06868,85.4135
02/15/16,21:46:00,140.7983,140.7184,388.4473,382.5317,26.45973,49.04078,85.29399
02/15/16,21:47:00,140.9945,140.8688,388.2322,382.4565,26.24393,48.96738,85.38341
02/15/16,21:48:00,140.5453,140.4863,387.8816,381.7278,26.34342,49.03098,85.28741
02/15/16,21:49:00,140.7923,140.6757,388.1079,382.5879,26.41891,48.88731,85.44786
02/15/16,21:50:00,141.2018,141.1102,388.1284,382.3188,26.23287,48.89696,85.38124
02/15/16,21:51:00,140.9071,140.8389,388.1267,382.3318,26.43772,49.00569,85.38522
02/15/16,21:52:00,141.0457,140.9095,387.2671,381.2222,26.46339,48.93071,85.42171
02/15/16,21:53:00,141.0748,140.9792,387.9153,382.3105,26.14262,48.95122,85.33459
02/15/16,21:54:00,140.8418,140.8632,387.604,382.0313,26.31485,49.01888,85.34967
02/15/16,21:55:00,140.6235,140.5512,386.9893,381.5247,26.28166,48.97445,85.38483
02/15/16,21:56:00,140.744,140.7631,387.2793,381.5408,26.26774,48.95655,85.37111
02/15/16,21:57:00,141.048,140.9444,387.5925,381.8215,26.23974,49.02296,85.34221
02/15/16,21:58:00,140.9157,140.8005,387.2512,381.5381,26.36772,48.99703,85.37369
02/15/16,21:59:00,140.9593,140.8953,387.5718,381.9822,26.16444,49.00256,85.3568
02/15/16,22:00:00,140.8447,140.8239,387.9333,382.0132,26.35147,49.0598,85.35614
02/15/16,22:01:00,140.6641,140.5999,388.001,381.8601,26.4304,49.01765,85.28438
02/15/16,22:02:00,140.8231,140.7241,387.7695,382.0254,26.29028,48.98301,85.34874
02/15/16,22:03:00,140.807,140.8927,389.0469,383.2292,26.45027,48.98478,85.34978
