$Date,$Time,PI-428,PI-430,FI-425,TI-426,TI-432,TI-431,PI-433,HR_A1,QR_A1,QR_SCL_A1
02/15/16,01:03:00,764.2871,2648.012,86.64516,25.40726,106.6803,105.8221,2646.987,1.303337,0.09978402,0.09953748
02/15/16,01:04:00,730.7721,2552.312,83.30456,25.17259,107.1488,105.9108,2549.808,1.318223,0.09938159,0.09946826
02/15/16,01:05:00,722.4603,2611.566,81.20728,24.82861,107.3911,106.3031,2606.758,1.355643,0.09991452,0.1014139
02/15/16,01:06:00,733.7036,2598.713,83.54462,25.00288,107.3828,106.3809,2593.16,1.33031,0.1001367,0.1005998
02/15/16,01:07:00,706.1743,2550.735,79.9255,24.89459,107.2911,106.3574,2546.983,1.342046,0.1003058,0.100982
02/15/16,01:08:00,733.2031,2610.283,83.84743,24.67406,107.4202,106.5263,2602.828,1.338442,0.1001325,0.1009366
02/15/16,01:09:00,754.5404,2633.907,87.37541,25.60258,107.4859,106.4469,2631.899,1.314907,0.1010183,0.1000352
02/15/16,01:10:00,760.285,2626.809,84.46793,25.62619,107.2397,106.5537,2620.193,1.305153,0.09863081,0.09956226
02/15/16,01:11:00,757.0557,2629.774,87.49535,25.58598,107.3281,106.4496,2625.49,1.312379,0.1008983,0.09984271
02/15/16,01:12:00,738.3472,2656.059,89.89616,25.84999,107.4138,106.4239,2650.769,1.342785,0.1035693,0.10112
02/15/16,01:13:00,740.8234,2654.934,87.05067,25.72794,107.8837,106.6268,2649.324,1.341219,0.1015974,0.1013873
02/15/16,01:14:00,759.4336,2649.944,86.01032,25.76604,107.4688,106.559,2644.999,1.319666,0.09981663,0.1001084
02/15/16,01:15:00,731.2915,2572.31,79.26632,25.53091,107.7981,106.3971,2568.144,1.319159,0.09788952,0.1001389
02/15/16,01:16:00,736.8469,2588.469,92.53567,24.56067,108.0703,106.913,2583.599,1.323596,0.1053518,0.1003335
02/15/16,01:17:00,749.8962,2657.036,86.88183,25.13516,108.1877,106.957,2651.579,1.330097,0.1008546,0.1003742
02/15/16,01:18:00,758.4619,2625.419,87.82597,25.24414,108.3714,107.1892,2617.478,1.306438,0.1008466,0.09974579
02/15/16,01:19:00,744.2371,2598.537,86.67385,25.10083,108.0628,106.9299,2596.946,1.312726,0.1010647,0.09992399
02/15/16,01:20:00,761.0919,2658.926,85.72422,25.36652,107.6265,106.6527,2652.32,1.318912,0.09987818,0.1000734
02/15/16,01:21:00,764.7211,2660.199,85.96569,25.50679,107.6226,107.8389,2654.144,1.310203,0.09988806,0.09983394
02/15/16,01:22:00,759.9097,2650.066,88.76827,25.49622,107.1592,106.2266,2641.68,1.311758,0.1010946,0.09972718
02/15/16,01:23:00,773.2166,2667.958,87.32143,25.63185,107.0354,106.1959,2663.06,1.303232,0.100177,0.09965584
02/15/16,01:24:00,766.7413,2645.916,88.34488,25.44363,107.1698,106.3608,2646.299,1.304863,0.1005082,0.09963612
02/15/16,01:25:00,749.5203,2612.292,84.30584,25.55234,106.9501,106.0661,2608.626,1.317859,0.09955972,0.1001738
02/15/16,01:26:00,721.9684,2513.444,82.81174,24.61078,108.1865,106.592,2509.722,1.308425,0.1003104,0.09993914
02/15/16,01:27:00,704.0179,2590.312,85.50877,24.42027,107.665,106.6864,2584.596,1.369653,0.1034346,0.1020577
