$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,01:22:00,106.6556,516.2079,7.613297,7314.081,20.05281,105.4194,105.6068,102.6688,102.6686
02/15/16,01:23:00,106.6114,516.4615,7.892799,7304.492,20.03726,105.6135,105.7961,102.8682,102.8852
02/15/16,01:24:00,106.7245,514.9974,7.761726,7317.23,20.04959,104.7007,105.3123,102.7538,102.7236
02/15/16,01:25:00,106.7667,514.9744,7.643585,7241.312,19.8656,104.6744,104.8415,102.2363,102.2327
02/15/16,01:26:00,106.6919,515.7739,7.605743,6920.975,19.31892,104.4324,104.6154,102.2964,102.2966
02/15/16,01:27:00,106.6769,516.5137,7.593727,7123.297,19.71282,104.9625,105.1617,101.7829,101.7703
02/15/16,01:28:00,106.6817,515.9213,7.644615,7346.405,20.10925,105.5227,105.7216,102.67,102.6075
02/15/16,01:29:00,106.6426,516.2306,7.600441,7361.719,20.03145,105.3729,105.5644,103.2039,103.2084
02/15/16,01:30:00,106.6838,516.5079,7.671356,7120.188,19.64939,104.7139,104.907,102.5958,102.5974
02/15/16,01:31:00,106.6921,515.5951,7.678223,6869.885,19.29326,105.1437,105.3555,102.618,102.6574
02/15/16,01:32:00,106.7639,514.8691,7.576141,7325.992,20.07861,105.4835,105.6966,102.3983,102.3959
02/15/16,01:33:00,106.762,515.1549,7.584152,7358.704,20.06177,105.3004,105.4819,103.0667,103.076
02/15/16,01:34:00,106.6787,516.0432,7.889595,7278.653,19.9698,105.4239,105.6079,103.1243,103.1463
02/15/16,01:35:00,106.7009,516.6185,7.571564,7126.297,19.77407,105.6173,105.8216,103.0863,103.0652
02/15/16,01:36:00,106.6471,516.2665,7.636604,7255.179,19.98994,105.6644,105.8442,102.9542,102.9293
02/15/16,01:37:00,106.5579,516.1429,7.585907,7240.509,19.97742,105.5854,105.7326,102.815,102.8176
